Tree,Cable,Location,Azimuth,HD,VD,Distance.to.base,Distance.to.leaves,Diameter.branch,Thickness.bark,Notes.field,Notes.post,Definitions.units
TV3,3,Branch,183,4.6,2.7,,5.32,15.7,0.8,,,
TV3,4,Branch,240,2.9,0.2,,8.43,14.9,0.8,,,
TV3,5,Branch,289,4.6,0.7,,4.41,10.8,0.8,,,
TV3,6,Branch,316,1.8,-1.5,,10.4,21.4,0.9,,,
TV3,7,Trunk,,,,21.55,,,,,,
TV3,8,Trunk,,,,21.55,,111,1.5,,,
TV4,1,Branch,328,3.5,1.3,,7.23,18,0.8,,,
TV4,2,Branch,32,6.7,1.2,,4.97,16.3,0.6,,,
TV4,3,Branch,116,0.7,5.9,,4.21,13.5,0.9,,,
TV4,4,Branch,164,4.3,2.4,,2.4,15.3,1.3,,,
TV4,5,Branch,210,7.2,2.6,,6.2,17.3,1.3,,,
TV4,6,Branch,306,4.3,0.5,,6.87,22.1,0.9,,,
TV4,7,Trunk,,,,16.4,,,1.3,Diameter skipped,,
TV4,8,Trunk,,,,16.4,,,,,,
,,,,,,,,,,,,
